average_userscore,individual_userscore,movie_title,review_date,user_review,username
9.2,10,The Godfather,"DEC 18, 2025",Seriously one of the Best Movies of all Time. It is really a piece of art. Martin Scorsese has Outdone himself with this one,Muellaimer123
9.2,9,The Godfather,"NOV 15, 2025",[SPOILER ALERT: This review contains spoilers.],ahmetcanerkara
9.2,10,The Godfather,"AUG 8, 2025",[SPOILER ALERT: This review contains spoilers.],arian2235
9.2,10,The Godfather,"JUL 25, 2025","A masterpiece, a legendary cast, the best in history, with iconic music and racon scenes, it is truly a masterpiece and we should not forget that this film was made in 1972.",rexvir
9.2,10,The Godfather,"JUL 9, 2025","Unbelievable acting, with great characters. Certainly one of the best movies ever made.",RagingVengence5
9.2,10,The Godfather,"JUL 9, 2025","GREATEST MOVIE OF ALL TIME!!!! Unbelievable storytelling, with memorable characters and superb character development especially for Michael (Al Pacino). Marlon Brando was also terrific as the unforgettable Don Vito. His scene when he talks to Michael is a top three movie scene ever. ""Woman and children can be careless but not men"" is an ultimate life lesson. Visual effects, cinematography and music score was top notch. 10/10",CrownedJoyfey25
9.2,9,The Godfather,"JUL 1, 2025",A masterpiece. Nothing lto add on what has already been said about this gem of a movie.,JCVD
9.2,10,The Godfather,"JUN 24, 2025","The Mona Liza of Motion Pictures. Greetings from Lithuania. To call ""The Godfather"" a masterpiece or a classic would be underestimating. This is simply put, one of the very best (if not the best) motion pictures ever created. I saw this movie many times, and i never get tired of it. After some time passes, you kinda feel a need to revisit it again. Rewatching it recently on 4K UHD disk kinda blew me away the fact of how incredible it looks. There isn't anything new that i could say about this picture that wasn't said before countless times. Everything works here on such level, that it creates this rich, deep and unforgettable world. From whole trilogy, Part 1 is my favorite by a mile. 2nd and 3rd movies are great in their own terms, but first one is another level. Acting, directing, writing, music (the music!), set design - it's a thing of beauty and admiration to a movie crafting art. Overall, because you have probably already seen this masterpiece, I can only recommend it to not forget it for a long time and revisit it once in a while. It contains everything that a cinema-goer can wish. The unforgettable and one of the kind motion picture, which probably like a great wine just keeps getting better with years.",badshaped
9.2,7,The Godfather,"JUN 16, 2025","Awesome movie. The only complaint I have is It can get a little boring at times. If the movie was trimmed down a little bit, and simplified just slightly it would be a 10. Still a classic But I wanted to like it more The pace was too slow, most of the characters were somewhat interesting, with all the families it's kind of hard to follow. I think it gets a lot of credit because it was very revolutionary. It's a good film but for the list of reasons that I have stated, it's no higher than a 7 maybe an 8 on a good day",JaydenDAgoaT
9.2,10,The Godfather,"JUN 13, 2025","Francis Ford Coppola ci regala uno dei più bei film della storia del cinema: l'Italia americana, seppur un po' stereotipata, dipinge la vita difficile e violenta di alcuni esponenti della mafia. Dalla loro scalata alla loro caduta. Vite intrise di violenza, ""perdono"" cristiano e famiglia. L'Italia del sud, quella delle famiglie allargate emerge tutta (e ancora oggi è spesso così). Attori straordinari, sceneggiatura impeccabile e atmosfera vivida e sempre lucida nel mostrarci cosa accade. La musica è meravigliosa ed iconica. Un capolavoro senza tempo.",Ladyblack89
9.2,10,The Godfather,"MAY 11, 2025","Greatest movie ever made, Brando's acting should be the bar for every single hollywood actor today.",Kyza
9.2,8,The Godfather,"APR 30, 2025","I watched the film with difficulty, it was very long and drawn out, but this does not change the fact that it is a justified classic with a good plot about the criminal world of the Italian mafia",Miyod
9.2,10,The Godfather,"APR 23, 2025",This is the best movie of all time. My girlfriend likes dumb movies like fast and furious and the transformers series. Luckily she does not vote but dumb people do. Anybody who gives this movie less than a eight out of 10 deserves to be flogged.,lowkey42o
9.2,9,The Godfather,"APR 13, 2025",A very good film with a great storyline. Well acted and great costumes! Good score. Well worth watching!,strangebrew123
9.2,6,The Godfather,"APR 10, 2025",Good movie. Just slow and I cannot get through it to save my life despite trying multiple times.,AmO0
9.2,10,The Godfather,"MAR 25, 2025","This film is a masterpiece of world cinema. One of the best, if not the best film I have ever seen.",gomesjhow
9.2,10,The Godfather,"FEB 27, 2025","The best film about crime, in my opinion, must watch, great for beginners who want to explore classics, aged not that well on some sides but still one of the greatest.",Postik
9.2,10,The Godfather,"JAN 28, 2025","Created a genre. One classic unforgettable scene after another. I’m very surprised this no longer ranks in the top 5 - when I first saw this list some years ago, it was #2, which is about right.",ABadSeed
9.2,10,The Godfather,"JAN 25, 2025","greatest movie and ahead of its time, best leading actor, massive production with deep story",CaIi
9.2,10,The Godfather,"JAN 5, 2025",[SPOILER ALERT: This review contains spoilers.],elmxqueen
9.2,10,The Godfather,"NOV 25, 2024",A well-crafted piece of entertainment. A perfect movie which justifies its length with ambition and proper character development.,AntoanD9941
9.2,10,The Godfather,"NOV 17, 2024",Sem dúvidas um filme perfeito. Tem a sua mensagem sobre sucessão e família bem elaborada.,Renan_340
9.2,2,The Godfather,"NOV 11, 2024",[SPOILER ALERT: This review contains spoilers.],Elithemessiah
9.2,10,The Godfather,"OCT 25, 2024",fakin cine fakin cine fakin cine fakin cine fakin cinefakin cinefakin cinefakin cinefakin cinefakin cinefakin cinefakin cinefakin cinefakin cinefakin cine,akielcineastas
9.2,7,The Godfather,"OCT 21, 2024","Not a bad movie but nothing special too. The story is cool but not that fascinating. Also it's boring sometimes and the ""dramatic"" scenes aren't really dramatic. Not very much action too. The characters are good tho. Good but overrated.",Real_rev_meta1
9.2,10,The Godfather,"OCT 12, 2024",[SPOILER ALERT: This review contains spoilers.],CheloMedia
9.2,10,The Godfather,"SEP 25, 2024","The mafia epic to which all others are measured. Maybe even the greatest film of all time, but I don't think that's a fair judgment to cast. In either case, Francis Coppola's much-heralded masterwork, jumbo-sized but not without good reason, still delivers. The Godfather's sheer ambition is a sight to behold, packed with strong characters, complicated choices, bitter curves and a grand, decades-spanning arc. It's as close as cinema has ever come to matching the rich, chewy abundance **** novel, even if it does skim a few years in the third act. We're treated to layers upon layers of comprehensively-defined individuals, even the ancillary roles, with a strikingly complex dynasty at the center of it all. The Corleones are a crucially diverse group, distinct but also alike, and fundamentally familiar despite the off-putting nature of the family business. Sonny, the hot-headed heir apparent; Fredo, the kowtowed black sheep; Vito, the rational, well-composed patriarch; Michael, the intellectual firebrand with lofty ideals. In retrospect, their paths are obvious, but in the heat of the moment we're shocked by every twist of the knife. Moments of deep contemplation contrast with explosions of spontaneous violence, loud illustrations of the literal dog-eat-dog nature of this particular line of work. Coppola wrangles everything like the illustrated puppet master depicted in the franchise logo. It's all precisely orchestrated, timed for peak efficiency, yet somehow never grows formulaic or loses touch with its essentially human, organic pulse. Not a wasted movement, nor a missed opportunity. What an achievement, just to complete a film of this magnitude. That it was accomplished in just a year's time, first day of filming to opening day at the cinema, is absolutely baffling.",drqshadow
9.2,10,The Godfather,"SEP 12, 2024","The Godfather, directed by Francis Ford Coppola and released in 1972, is often hailed as one of the greatest films ever made. Its narrative depth, complex characters, and masterful direction set a benchmark for cinematic storytelling. The film's portrayal of the Corleone family, led by the iconic Vito Corleone, played by Marlon Brando, showcases exceptional performances and a gripping **** film's strength lies in its intricate exploration of themes such as power, loyalty, and corruption. Its screenplay, based on Mario Puzo's novel, is filled with memorable lines and scenes that have become iconic in film history. The cinematography by Gordon Willis adds a moody, atmospheric quality that enhances the film's dramatic **** Godfather’s influence extends beyond its immediate success, shaping the genre and inspiring countless filmmakers. Its impact on pop culture, storytelling, and cinematic techniques is profound, making it a film that is often rated 1000/10 by enthusiasts who view it as the pinnacle of cinematic achievement.",Daki1105
9.2,0,The Godfather,"SEP 4, 2024","The Godfather"" is overrated and slow, with a convoluted plot that’s hard to follow. The characters are unrelatable, and the film's glorification of crime is unsettling. Even the famous scenes feel overhyped, leaving me wondering why it's considered a classic.",sahalskibidi
9.2,10,The Godfather,"SEP 1, 2024","The Godfather remains an unparalleled cinematic masterpiece that has stood the test of time. Even after several decades, its brilliance remains undimmed, solidifying its status as one of the greatest films ever made. The compelling storytelling, exceptional performances, and masterful direction continue to captivate audiences across generations, proving that true artistry in filmmaking is indeed timeless.",UnnamedGamer
9.2,10,The Godfather,"AUG 28, 2024",great movie it could be a little long or too much context for people who are low on Patient but if you watch it thoroughly i think most people would really appreciate it,1998Nathan
9.2,10,The Godfather,"AUG 18, 2024",Simply perfect. There are no negative points to be found in this title besides it's incredible ability of not committing mistakes. It's considerably irritating.,AlexandreNeres
9.2,10,The Godfather,"JUL 30, 2024","The only perfect movie. Incredible cast, score, and direction. It's regarded so highly by everyone for a reason. Truly an incredible film that **** in any viewer. Coppola's masterpiece and probably Brando's best performance. The pacing and every scene in this film is jaw dropping. The baptism scene is probably my favorite scene in any film. Revolutionary and high regarded for good reason.",jlfilmreviews
9.2,10,The Godfather,"JUN 29, 2024",The Godfather is a masterclass everything of this movie is perfect EVERYTHING!!!!,thegoat777
9.2,10,The Godfather,"JUN 24, 2024","The Godfather is a classic of world cinema and one of the best films ever made. Genius Coppola recreated a beautiful picture of the Italian mafia in America while showing the not easy but exciting fate of the Corleone family members. The picture and cinematography are at the highest level, from gloomy and gray New York to sunny Sicily. Ingenious dialogues and phrases that have become iconic add a special charm to the film. But all this is united by the interesting and ambiguous main characters played by Marlon Brando and Al Pacino.",cranbeurg
9.2,10,The Godfather,"MAY 19, 2024","""I'm gonna make him an offer he can't refuse."" Marlon Brando at his all time best.",BrennanEverette
9.2,9,The Godfather,"MAY 13, 2024",this to me at least is the greatest film ever made and despite my belif this movie is over rated that is just in the view of the audiance when looking critically nothing wrong with this movie when being a critic,thedude124
9.2,9,The Godfather,"MAY 12, 2024","This film changed forever the way gangster were percieved in films, a heartfelt portrait of the italian immigration through the lens of genre film, a greek tragedy more than just your average crime movie",mohamedkhamkham
9.2,10,The Godfather,"APR 17, 2024",A Must see. A favorite and one of the greatest films of all times. Incredible Cast in their prime.,SupremeTzar
9.2,10,The Godfather,"APR 4, 2024","One of the most intense films I've ever seen. I'm not a fan of crime novels, crime fiction, or crime films, but this totally put me bonkers. The violence was insane, the plot was very big but intriguing, the cast gave terrific performances, especially actors who looked a lot different than I usually see them as in the 2000s (Robert DuVall and James Caan). They say it's one of the greatest films of all time. No kidding. It was made in the early 70s, and might have been the earliest to show incredible violence to back up the plot, that I can understand very well. I don't watch a lot of dark dramas, but this is one that is very legendary that even if you're not a fan of these types of films you should still watch it.",superfrog281
9.2,10,The Godfather,"MAR 30, 2024","One of the best films ever made. Coppola has made a film that to call it a masterpiece would be an insult, because this one is truly on another level. The actors, the direction, the editing, the screenplay, everything is perfect.",Laives
9.2,10,The Godfather,"MAR 7, 2024",[SPOILER ALERT: This review contains spoilers.],jeremy_1497
9.2,10,The Godfather,"FEB 2, 2024","This movie just blew me away, every scene, the soundtrack, every line, every cast member is cast perfectly. If you watch the documentary on the movie it's a miracle that this movie was made and came out the way it did. I can't recommend this movie enough and it should be watched uncut. I can't recommend it enough, a cinematic masterpiece Puzo and Coppola are one of the greatest teams in film. Just watch it, you'll be glad you did.",Aldric18
9.2,8,The Godfather,"JAN 27, 2024",A must-watch for anyone who does not mind heavy movies. An old movie could be boring for some people.,GELDATS
9.2,2,The Godfather,"JAN 25, 2024","fine movie, not my favorite, boring. It doesn't really compare to happy feet.",happyfeetfan216
9.2,10,The Godfather,"JAN 10, 2024","Very good movie my friend, this is a masterpiece, it is one of the movies I have watched over and over again, this is a goat man, this is a MASTERPIECE, MY **** film godfather, the GOATFATHER",4rdvn34
9.2,10,The Godfather,"DEC 22, 2023","In my own opinion, I feel like it’s a little unfortunate that some people give up on their lost cryptocurrency, passwords and funds while there is so much help in the world. When there are a lot of different experts who are ready to help you attain what is legally yours. I have been in talks with friends facing these same challenges but too shy or too proud to seek help. I have been of the opinion that, if the majority are getting the help, why shouldn’t you get similar help. I would like to stay anonymous but share this piece of information that I deem important, hackers exist for a reason. To help you when the police or other officials can’t. I have used EXNER PRO HACKER so far and I must confess, they did not disappoint. I was missing out on 300,000 USDT and this hacker came through for me. The police department failed me unfortunately and hence my resolution to seek out hackers. So, dear, seek help. I’ll leave my hacker’s email if you want to work with them ****",Macc4647
9.2,10,The Godfather,"OCT 30, 2023","It show us the perfectly good that the seventh art can be. The storytelling advances in a purely and gorgeous steps. The violence scenes are missing, but when one of them approaches, the scene is amazing constructed. The story, characters and places are the best developed in the cinema story. The best movie of all time.",criticsouthguy
9.2,10,The Godfather,"OCT 9, 2023",Quite simply one of the finest films ever made. Don’t know how many times I’ve seen it or read the book. Quote from it constantly.,Maverick_2023
8.7,5,Casablanca,"JAN 18, 2026","“당신의 눈동자에 건배”는 초월의 초월의 초월번역숨쉬 듯 버틸 수 밖에 없는 낭만의 노래 251225 (2.5) - #릭 #리키 #리처드 블레인. 미국 뉴욕 출신 37세. “Rick’s cafe americain”의 주인. 돈만 아는 중립 장사치인 척하지만 늘 약자를 위해 힘써온 정의로운 이. 35년엔 에디오피아에 무기 수송, 36년엔 파시스트에 맞서 스페인 왕당파 편에서 싸움. 늘 지는 편에서 나름의 정의를 지켰던 낭만주의자. 카페 직원들이 저항군에 속한 것을 모른척하면서 도와주고, 급여, 처우 등 고용문제를 살뜰히 챙겨 진심으로 존경받음",famfacat
8.7,8,Casablanca,"NOV 12, 2025","Greetings from Lithuania. ""Casablanca"" (1942) isn't my favorite movie - not close to it, but i do found this movie to be truly great. I did see it few times, and i did enjoy it every time. I like of how this movie takes you to time and place simply because of its wonderful craftsmanship. Directing, acting, set design, costumes, music - all makes this movie work. Sure, at the time the script was written in the early 40's Naci's weren't widely know for what they truly did back in the day, therefore this film does not present them as a real treat. But even that nor the bad visual effects (even for the time) in the beginning of the movie when plane lands could make this movie less effective. Because its so much more then that. Overall, ""Casablanca"" is a great movie that takes a viewer to a time and place in history. Its a excellently made movie that everyone should see at least once.",badshaped
8.7,8,Casablanca,"AUG 20, 2025","Classic vibes, sharp dialogue, and unforgettable romance—Casablanca totally lives up to the hype.",ezachwieja20331
8.7,9,Casablanca,"MAY 8, 2025","¡Una película espectacular! Es cierto que, a priori, parece bastante densa y empieza relativamente algo lenta, pero en este caso creo que es necesario. No es claramente el típico romance, me recuerda en cierto sentido a la película 'Sucedió una noche', ganadora de un Óscar anterior, más que nada porque el romance es similar en tanto a cambiar de pareja, solo que en esta ocasión tiene un poco más de sentido, por cómo sucede todo. En eso ayuda mucho el trasfondo de guerra. El final es bastante satisfactorio e inclusive sorprendente por el giro de guion que existe. Y también quiero referirme a la escena que más resonó en mí, y es: ¿puede alguien considerar 'traición' si por esa acción puede ayudar a los demás? Creo que la respuesta dependerá de la situación y las personas involucradas; en mi caso es no. Y justo por eso, la aventura que tiene nuestro protagonista con la mujer me dejó un mal sabor de boca, por ella claro, ya que realmente no fue sincera. Es a partir de ese suceso que todos los acontecimientos posteriores, aunque bien realizados, los siento algo artificiales. Aun así, es de las mejores películas.",BigP4pa
8.7,9,Casablanca,"APR 25, 2025",[SPOILER ALERT: This review contains spoilers.],Destiny227
8.7,10,Casablanca,"FEB 25, 2025",[SPOILER ALERT: This review contains spoilers.],allietheauthor
8.7,10,Casablanca,"APR 24, 2024",Casablanca is one of the best movies in history. I liked Humphry Bogart's Rick. We need to know the history before watching it. I wish I could watch it in color.,MarkTakayama
8.7,9,Casablanca,"APR 14, 2024","An all-time great. The story moves at a brisk pace, has twist & turns (but you can generally readily follow it), is perhaps the best lit movie in history, and the sets somehow clearly are on a movie lot but also give you a sense of place. The script has a dozen-plus memorable lines, and Ingrid Bergman is not only gorgeous but an excellent actor. Lots of people do good-to-great-work, but special kudos to Claude Raines who sinks his teeth into a complex role and gives it the exact right edge of fun, danger, cynicism, and heart--he's the star among stars. Bogart is very good, but a bit overwrought in a couple places (perhaps this is because he wasn't used to playing the romantic lead?). Every film fan should see this at least once.",BradleyS
8.7,10,Casablanca,"FEB 23, 2024","This movie is one of the artistic , popular, effectiveness and best movie ever i saw in all of my life , one of the memorial movie .",ASF401
8.7,8,Casablanca,"JAN 9, 2024","A brilliant classic that influenced the film industry for years to come. Iconic, and for good reason. Absolutely a must see.",ethanjtrep
8.7,9,Casablanca,"DEC 12, 2023",an absolutely perfect classic movie timeless genius masterpiece full pleasure while watching,Augarten
8.7,9,Casablanca,"NOV 19, 2023",Very good. Very quotable. I knew quotes from this movie that I didn't even know were from this movie.,harvdog03
8.7,10,Casablanca,"AUG 28, 2023","In my opinion this film is a masterpiece, I don't like romances, but this one have great history, great characters and charactres arcs, great end and even plot twists. For some people this film may seem boring and slow and I may agree with slow but is just because the film is setting previous events and is not a defect. I recommend it.",Sopa_de_Bacon
8.7,8,Casablanca,"AUG 15, 2023","It is certainly a bit overated, but it is still a very good class, or a child of American propaganda. One of the best melodramas in history and probably the first film with a Blockbuster soul.",Dominik08
8.7,10,Casablanca,"AUG 6, 2023","One of the best movies ever made, might be the ****'s hard not to hum ""as time goes by"" days after watching it. Humphrey Bogard and Ingrid Bergman lead the way in this wartime complex romance that dives right in and let's you experience every emotion in the backdrop of Rick's Cafe Americain and the streets of Casablanca. This movie is entertaining and funny, enthralling, and features many iconic lines that have lasted a lifetime in American cinema. It has the most special way of telling a story of humanity during war, integrity's importance, and love's ultimate sacrifice. This movie avoids common narrative tropes and creates its own path and climax, and it's just perfect. Setting, Conflict, Character, Dialogue, Theme, Plot, and Climax: A+ Runtime: 1:42 Audience Engagement (do you feel runtime): No Top Genres: Drama, Romance, War (Fiction) Genre(s) rating Drama - 10 Romance - 10 War - 9 Genre Average Score: 9.66 Directing: 10 Cinematography/lighting: 10 Story/Narrative: 10 Structure: 10 Dialogue: 10 Score(music): 10 Editing: 10 Acting: 10 Characterization: 10 Mise en Scène/Visual Design: 10 Visual Effects: 10 Sound Design: 10 Costumes/Makeup: 10 Lasting Impact: 10 Originality: 10 Overall: 9.98",ChrisNorton
8.7,10,Casablanca,"JUN 21, 2023",One of the most timeless classics. It took me a while to really love this movie. The acting and story is really good. The movie also has a ton of iconic dialogue and memorable moments. Truly one of the best of the golden era,moviefan23u429u
8.7,10,Casablanca,"MAY 10, 2023",Nice classical film! Highly recommend to everyone. Definitely better than many modern movies.,mstaub87
8.7,3,Casablanca,"MAR 26, 2023",what a movie see **** how on earth do I get over it so soon,Saracen552
8.7,5,Casablanca,"SEP 14, 2022","Just not seeing it with this classic, A little too slow and dragging for me.",royalguy07
8.7,9,Casablanca,"AUG 4, 2022","I had to try watching this movie twice. First try I can't stand it. Felt bored. But years later I try it again and it worked. The story becomes quite interesting since Ingrid Bergman show up and the ending, omg, one of the best ending ever!",Insadani
8.7,3,Casablanca,"MAR 26, 2022","Boring. I'm glad that it's only 1h40min long. But, for the 40s, it was a good movie, I guess.",Lolathon
8.7,10,Casablanca,"MAR 18, 2022","Casablanca is just an extraordinary film, if I had to describe it in one word, it would have to be perfection! I honestly don't care that it's an old film, I personally think that's not a convincing enough excuse for hating a film as wonderful as this , because you are seriously missing out, if you haven't seen it. The cinematography is just fantastic, with clever brooding camera-work. The music by Max Steiner is outstanding, from the sweeping haunting love theme As Time Goes By, to the excerpts of the french national anthem. The scene where everyone starts singing in the café was extraordinary and one of the many highlights of the film. The screenplay is unquestionably one of the finest in the history of cinema, right up there with Shawshank Redemption and All About Eve, containing great memorable lines such as ""seems as though Destiny is at hand"". The performances were superlative, Humphrey Bogart giving one of cinema's greatest lead performances as the ""cynical sentimentalist"" Rick Blain. Also superb are Ingrid Bergman who positively lights up the screen as Ilsa, the young woman who breaks his heart, Paul Henreid as the fugitive husband, and Claude Rains as Captain Renault. The plot is a little complicated, but I couldn't help being impressed with the performances and the screenplay. Not to mention a timeless love story that I don't think has ever been topped. Overall, a masterpiece, that quite rightly received an academy award for best picture. 10/10 Bethany Cox",kyle20ellis
8.7,9,Casablanca,"JAN 28, 2022","It's a classic, and I can't deny that, but I feel like it's gotten stale over time.",plushcollector
8.7,10,Casablanca,"JAN 19, 2022",Simply one of the best films ever made. Humphrey Bogart and Ingrid Bergman are at their absolute best in this top-notch romantic drama film. A must-see.,jamesfhall
8.7,8,Casablanca,"NOV 20, 2021","This is, of course, a real film classic. I thought the music and the somewhat suave script stood out for me. It has quite a **** feel about it. It features some classic lines of dialogue 'of all the bars in all the towns in the world, she walks into mine' etc. Its quite a laidback, easy watch. A good example of a classic black and white film, I would recommend it, yes.",DawdlingPoet
8.7,10,Casablanca,"AUG 4, 2021","Casablanca. Love and war. A perfect example of the fact that even after 80 years, Casablanca is a great movie. The main and secondary actors played their characters perfectly. Plot on A +.",KelvinSelimor
8.7,10,Casablanca,"JUL 21, 2021","As Time Goes By, even in a 100 years, Casablanca is Casablanca, the movie with full of greatness, a Masterpiece, smart, beautiful, and simply one of the greatest movie i've ever watch.",Habibiehakim
8.7,7,Casablanca,"MAR 19, 2021","I feel very bad with myself giving just a 7/10 to this, but I just didn't empathise with the characters.",AJ_13
8.7,10,Casablanca,"JAN 30, 2021","“Casablanca” is a wonderful movie. For reference, I just watched it for the first time ever in 2021. “Casablanca” is a story of convictions, romance, and lost love. Right from the beginning it throws so much at you that it is hard to keep up, and the story goes in so many unexpected directions. There are a ton of characters, and yet somehow, every one of them, with the exception of the ****, won me over. This movie is super heavy on dialog, but unlike modern cinema where characters talk just to fill time, the dialog in “Casablanca” feels like it is all in support of the plot, which forces you to hang on every word or else you will get lost. Anyone with a tolerance of full framed black and white should be able to take something enjoyable away from this movie. I give it an A - Make a point to go see this movie.",MATM
8.7,10,Casablanca,"JAN 6, 2021","If you don't like this **** wait, how can anyone not like this film?",FantasticMrMe04
8.7,8,Casablanca,"DEC 9, 2020","This was a great movie, I really enjoyed it. I hope they come up with a sequel",Testie
8.7,3,Casablanca,"NOV 27, 2020",It's a three-way wartime love story. The acting is superb. The script minimal but iconic. The plot lacks plausibility but it moves along. The director uses black-and-white to great effect. Enjoyable but dated.,johnboon
8.7,10,Casablanca,"SEP 25, 2020","This is a movie that you simply must watch. It's the perfect combination of things you would expect from 40's Hollywood, but no movie embodied that old Hollywood feel better than this one. If it ever feels clichéd (and it does), there's a big chance this movie started that cliché. It can feel dated, but there's still a lot of power to it. An entire bar playing ""La Marseillaise"" to drown out the sounds **** of **** is as powerful as you can get while still maintaining just the right amount of Hollywood sentimentalism. And it all works wonderfully.",Mahmus
8.7,9,Casablanca,"SEP 10, 2020","An all-time classic that holds up 80 years later. In occupied Morocco, the decision to have every player in a major war together in one bar is pure brilliance.",Maxwinkler
8.7,10,Casablanca,"AUG 26, 2020","My fav movie of all time; love, war, music, interpersonal relationships, all-star movie within a tightly written script. In black & white & I understand that much of the script was written the night before they were filming.",renewed4life
